id,title,name,dialog,select_text
1,New Girls,School girls,There will be new students on campus very soon!,
2,,School girls,I wonder what they'll be like...I'm so CURIOUS~,
3,,Hottie,You will know that when they arrive~ But focus!,
4,,Hottie,"Get back to class! School is still in session, remember?!",
5,,School girls,"Okay, okay...",
6,,,The corridor suddenly turns into silence.,
7,,Hottie,Wait a second.,
8,,*,Are you talking to me?,
9,,Hottie,Don't act innocent with me. You're the only person skipping class now.,
10,,*,"So... What do you want, Hottie?",
11,,Hottie,Why are you so nervous? Are you afraid of me?,
12,,*,NO!!!,
13,,Hottie,"I know you also heard about the new students, but I'm really busy right now...",
14,,Hottie,I haven't even had time to prepare school supplies for them...,
15,,Hottie,It's worrying me. Can you please do me a favor?,
16,,*,With the supplies...?,
17,,Hottie,Huh? What else could I be referring to?,
18,,Hottie,What are you waiting for?,
19,,*,"Umm, I'll be right back!",
20,,Hottie,Still so shy~,
21,,,"When I had almost reached the Shopping Street, I overheard an argument.",
22,,,"From a distance, I could see a little girl in black standing in the center of a crowd.",
23,,Shop Owner,Are you leaving without paying? I'm not giving out all those for free~,
24,,Jacob,Sorry... I didn't know the rules...,
25,,Shop Owner,You can't leave without paying. What about working in my shop as payment?,
26,,Shop Owner,"You already have a wing and horns, so you don't even need to pay for cosplay costumes~",
27,,Shop Owner,"…Well, you still need to buy another wing.",
28,,*,"Horns, single-wing... Jacob?!",
29,,*,"Make way, please.",
30,,*,"I'm her brother, sir. How much did she eat? I'll pay for her.",
31,,Shop Owner,"Tch, look what the cat dragged in...",
32,,*,Hey! At least I have my own picture! And I'm supposed to be the main character!,
33,,Shop Owner,Not on this street.,
34,,Shop Owner,"Minions, get him! There's nobody protecting him now~",
35,,Jacob,"Who said that?! Brother, let me help you!",
36,,Shop Owner,Ug---ahhhhhhhh! She's stronger than I thought! If… if she worked in my store...,
37,,*,Get your mind out of the gutter!,
38,,*,"We meet again, shadowbringer---",
39,,Shop Owner,"Hey, stop right there! It's almost copyright infringement!",
40,,*,Sorry! Forget that... The girl of shadow-- Jacob~,
41,,Jacob,??? You know my name??,
42,,Jacob,You claimed to be my brother...Now I doubt your mental competency...,
43,,*,Seriously! We actually met before!,
44,,Jacob,Really??? I don't remember that.,
45,,*,In Discipline Committee! You and Kratos... And the Philosopher's Stone...,
46,,Jacob,Kratos? Sorry… Doesn't ring a bell… But the Philosopher's Stone you mentioned...,
47,,Jacob,Oh! My sister has arrived!,
48,,,"Following the direction of Jacob's finger, I saw a pure white figure.",
49,,,"White hair, white dress, white wing,  white everything… With a face similar to Jacob's...",
50,,*,I knew your twin would show up together! It's Esau.,
51,Sister？,Esau,"Jacob, I'm back!",
52,,,"In a blink of an eye, Esau reached Jacob.",
53,,Jacob,"Sister…don't hug me too tight, it's embarrassing!",
54,,*,Uhh…,
55,,Esau,"Oh, sorry, I didn't notice there's someone else here...",
56,,*,You also lost your memory?,
57,,Esau,"Ah! You're the... ""Senpai"" we met before~",
58,,*,You... What are you doing here???,
59,,Esau,Chill out~,
60,,Esau,"The only thing to do on a shopping street is shopping, right?~",
61,,*,Surely not for something else?,
62,,Esau,"Don't worry, the Dire inside Jacob was defeated after the battle.",
63,,Esau,Now she's just her normal self~,
64,,Jacob,(NODDING) That's right!,
65,,*,But… she seems have forgotten what happened...,
66,,Esau,Isn't amnesia a normal thing in a story about school?,
67,,Jacob,"Yeah, so don't worry about that too much.",
68,,Esau,Today we're preparing for our admission~,
69,,*,So YOU'RE the new students Hottie mentioned!,
70,,*,But I'm still worried because Jacob doesn't seem to know much about normal life...,
71,,Esau,"Don't worry, I can catch Jacob up to speed!",
72,,Esau,"Let's see...new stationery, school bag...",
73,,Esau,Jacob has everything she needs for school~,
74,,,"Suddenly, the twins were engulfed by the stuff Esau brought along.",
75,,*,This is too much! Jacob couldn't even use one-tenth of it...,
76,,Esau,"Listen, my sister deserves the best gear!",
77,,Jacob,"Sister, I also got something for you...",
78,,,Jacob's words were drowned out by a noise.,
79,,Angry Shop Owners,Stop! You fraud!,
80,,Angry Shop Owners,That's not money at all! Return all our merchandise!,
81,,Angry Shop Owners,Stop right there! It's the white wing girl!,
82,,*,White wing??...!!! That's Esau!,
83,,Esau,Huh? Me? I've paid everything in full!,
84,,Esau,They look really angry. Let's calm them down first~,
85,,*,Stop fighting! I'll pay for them!,
86,,*,(Gasping)... Just another nonsense battle...,
87,,Jacob,Thanks for helping us out a second time~,
88,,Esau,That's what we call generosity~,
89,,*,"Besides thanking me, you still owe me an explanation for the ""fraud"" accusation.",
90,,*,Have you been scamming people to get what Jacob needs?,
91,Take Flight,*,I mean… This looks like money from a board game.,
92,,Esau,Yes! Exactly~,
93,,Esau,But I still owe you a lot~ I might need to accept 10 internship offers at the same time to pay for all those bills...,
94,,*,I understand that but... You purchased way too much!,
95,,Esau & Jacob,We can't help ourselves!!!,
96,,*,But you're not the ones who are paying the bill!,
97,,Jacob,"Wait... Sister, I've also got something for you~",
98,,Esau,? A gift for me?,
99,,Jacob,From me to you!,
100,,,The girl held out her hands to show a beautiful ring.,
101,,,It was a very unique necklace.,
102,,,"It comprised two wings with white and black feathers, spreading like they were preparing to take flight...",
103,,Jacob,"Sister, the design surely suits us a lot.",
104,,Jacob,I hope we can fly up high someday… Just like this necklace...,
105,,Esau,"Don't worry, the time is coming!",
106,,Esau,We're about to join Yume Academy~,
107,,Esau,"With the protection of the Academy, we'll be able to fly however we want~",
108,,Saint,Please stop standing in the middle of the road...,
109,,*,Your timing is awful!,
110,,Saint,But I'm here as the Discipline Member!,
111,,Saint,"I heard from some of the students about the chaos in the Shopping Street, and apparently you're the ones to blame.",
112,,Saint,"So please come with me… You too, Senpai!",
113,,Passerby,"Weird, I thought Saint is no longer a Discipline Member?",
114,,Passerby,I heard some rumors that she joined D.E.F...,
115,,Saint,What did you just say?,
116,,Passerby,"Umm, we should be going...",
117,,*,"Well, Saint… The chaos is already settled, and they're...",
118,,Esau,"We're not going anywhere with a stranger! Jacob, we're going home!",
119,,Jacob,Okay!,
120,,Saint,"I apologize in advance, but this is my duty! Capture them!",
121,,*,Why can't we talk things over before a fight breaks out?!,
122,,*,This is... (gasp)…the third fight I had this past hour.,
123,,*,I'm just here to shop for Hottie!,
124,,Esau,Jacob! Now!,
125,,Jacob,Okay!,
126,,,I felt a fierce gust of wind.,
127,,,The sunlight spread on the street through their wings.,
128,,,"At that moment, no one could imagine they were two girls.",
129,,,"The Twin Wings, Esau and Jacob, are destined to be one until the very end.",
130,,*,You can't just leave me behind!! I cannot deal with this mess all by myself!,
131,,Esau,"Sorry, Senpai!",
132,,Jacob,We'll meet again very soon~ I will save my apologies till then~,
133,,Esau & Jacob,"Bye-bye, Senpai~",
134,Hunter…person?,Campus Announcement,"Attention, please!",
135,,Campus Announcement,"Large packs of wild Hunters have been observed on Campus, and students who try to pet them have been attacked.",
136,,Campus Announcement,"The Student Council wishes to remind students that wild Hunters may be dangerous, so please don't pet them!",
137,,Jacob,"Look, it's a Hunter~",
138,,Esau,Where is it? Where is it?,
139,,Jacob,It's fur looks so soft…,
140,,Esau,"Here, kitty, kitty…",
141,,Hunters,Grrr…meow!,
142,,Jacob,Are you alright?,
143,,Esau,"It's only a scratch, I'll be fine in no time!",
144,,Jacob,"I think someone is in that bush…look it, it's moving!",
145,,Esau,Those ears! Another Hunter must be hiding there!,
146,,Esau,I will pet it this time!,
147,,Jacob,"Okay, okay, just control yourself or it will run away.",
148,,Catgirl,Wh-what do you want?,
149,,Jacob,This doesn't look like a Hunter…a Hunter-person?,
150,,Mio,The name's Mio!,
151,,Jacob,Hunter…Mio?,
152,,Mio,No!!!,
153,,Mio,Grrr…no touching!,
154,,Esau,It's so warm…and soft…,
155,,Mio,…!,
156,,Mio,What are you doing with my tail?,
157,,Esau,"Awww, don't run!",
158,,Mio,"Grrrr…take one step closer, and Mio will scratch you!",
159,,Esau,I don't think Mio likes us…,
160,,Jacob,"Hey, look at this!",
161,,Mio,(Gulps) Fish…,
162,,Mio,"(Turns away) No, it takes way more than a measly treat to win Mio over!",
163,,Jacob,Not even for Tuna?,
164,,Mio,(Gulps) Tuna…,
165,,Rumpy,Meow! Meow! (Tuna! I want Tuna!),
166,,Mio,Quiet! Don't lose your cool!,
167,,Rumpy,(Sad) Mreow…,
168,,Esau,"I just want to make a deal with you, Mio~",
169,,Jacob,…Isn't that Dire's line?,
170,,Esau,Who cares?,
171,,Esau,"Mio, if you let us pet you, we'll bring you to a place where you can have all the tuna you want!",
172,,Mio,…Really?,
173,,Esau,"Of course! There will be all types of treats, and even catnip!",
174,,Mio,…Promise?,
175,,Esau & Jacob,Promise!,
176,Nomnomnomnom,Passerby 1,"Look, there's a group of Hunters!",
177,,Passerby 2,Their tail looks so soft…I want to pet them…,
178,,Passerby 3,Didn't you hear the announcement? They scratch anyone that comes close!,
179,,Passerby 1,So how come Esau and Jacob are surrounded by them?,
180,,Passerby 2,Who is that girl with cat ears anyway? I don't remember seeing her anywhere on campus…,
181,,Passerby 3,"I don't know, and I don't want to be late for class too! Let's go!",
182,,Jacob,"…A quick question, what is the last time you had a proper meal?",
183,,Mio,(Nomnomnomnomnom) Fish…Mio haven't ate fish…in quite a while…,
184,,Esau,She's cute even when eating!,
185,,,Crack!!!,
186,,Jacob,"Oh no, Mio broke a plate!",
187,,Esau,Let's get out of here before she notices!,
188,,Mio,Meow???,
189,,Sonya,Who did that!!,
190,,Esau,It's too late…,
191,,Mio,Meow…,
192,,Mio,Mio didn't mean to…,
193,,Mio,Fish…yummy…,
194,,Sonya,Did you like what I made?,
195,,Mio,Meow! (Yes!),
196,,Mio,Rumpy too!,
197,,Rumpy,Meow~~~~~,
198,,Sonya,"I'll let it slide this time, but don't do it again, okay?",
199,,Jacob,"Wow, I thought she was going to scold us for sure…",
200,,Esau,That's what happened back when we didn't finish the Omelette she made…,
201,,Jacob,Everyone love Hunters…,
202,,Sonya,"If I remembered correctly,",
203,,Sonya,You weren't here to feast but to fight last time!,
204,,Sonya,I seem to remember a certain pair of twins offering to wash dishes as payment…,
205,,Sonya,Why not start now!,
206,,Esau,"…Mio, do you have any money?",
207,,Mio,Meow? Money?,
208,,Jacob,Dishes it is then.,
209,,Sonya,Come over here!,
210,,Esau & Jacob,Looks like you will have to continue your tour without us…,
211,,Esau & Jacob,"See you later, Mio!",
212,New Home,Mio,Not all humans are bad...,
213,,Mio,"Are you full, Rumpy?",
214,,Rumpy,Meow~~~~~(I want more!),
215,,Mio,That male human was right…,
216,,Mio,He did not trick us…,
217,,Rumpy,Meow! Meow!,
218,,Mio,…! What is it?,
219,,Mio,It's the forest!,
220,,Psychic,Want to have a walk in the sun?,
221,,Psychic,But you will freeze in the cold weather outside…,
222,,Psychic,"If Bud Elf didn't agree to let us stay in her greenhouse, we would have had a hard time in the winter…",
223,,Psychic,I wonder what happened to Rumpy after he left...,
224,,,"The door of the Animal Welfare club opened, and in came the Hunters.",
225,,Mio,Blooming flowers and thriving plants…this will be our new home!,
226,,Mio,"Rumpy, scout the perimeter.",
227,,Mio,"Others, gather as many materials as you can!",
228,,Hunters,Meow! (Roger that!),
229,,Bud Elf,Hey! What are you doing in my garden?,
230,,Mio,Speed up!,
231,,Mio,Catch any fish you can find in that pond!,
232,,Bud Elf,My sedums! My Suzuka flowers!,
