id,type,desc,img,level,next_id,first_id,last_id,sub_card,awards,base,point,lock,score,tec
110101,1,-1,time_cloister_card_supply,1,110102,110101,110106,,60007,,20,1,0,
110102,1,-1,time_cloister_card_supply,2,110103,110101,110106,,60008,,20,2,0,6
110103,1,-1,time_cloister_card_supply,3,110104,110101,110106,,60009,,20,2,0,7
110104,1,-1,time_cloister_card_supply,4,110105,110101,110106,,60010,,20,2,0,8
110105,1,-1,time_cloister_card_supply,5,110106,110101,110106,,60011,,20,2,0,9
110106,1,-1,time_cloister_card_supply,6,,110101,110106,,60012,,20,2,0,10
110201,1,-1,time_cloister_card_supply,1,110202,110201,110206,,258#1,,100,1,0,
110202,1,-1,time_cloister_card_supply,2,110203,110201,110206,,258#2,,100,2,0,11
110203,1,-1,time_cloister_card_supply,3,110204,110201,110206,,258#3,,100,2,0,12
110204,1,-1,time_cloister_card_supply,4,110205,110201,110206,,258#4,,100,2,0,13
110205,1,-1,time_cloister_card_supply,5,110206,110201,110206,,258#5,,100,2,0,14
110206,1,-1,time_cloister_card_supply,6,,110201,110206,,258#6,,100,2,0,15
110301,1,-1,time_cloister_card_supply,1,110302,110301,110306,,260#1,,40,1,0,
110302,1,-1,time_cloister_card_supply,2,110303,110301,110306,,260#2,,40,2,0,16
110303,1,-1,time_cloister_card_supply,3,110304,110301,110306,,260#3,,40,2,0,17
110304,1,-1,time_cloister_card_supply,4,110305,110301,110306,,260#4,,40,2,0,18
110305,1,-1,time_cloister_card_supply,5,110306,110301,110306,,260#5,,40,2,0,19
110306,1,-1,time_cloister_card_supply,6,,110301,110306,,260#6,,40,2,0,20
110401,1,-1,time_cloister_card_supply,1,110402,110401,110406,,261#1,,60,1,0,
110402,1,-1,time_cloister_card_supply,2,110403,110401,110406,,261#2,,60,2,0,21
110403,1,-1,time_cloister_card_supply,3,110404,110401,110406,,261#3,,60,2,0,22
110404,1,-1,time_cloister_card_supply,4,110405,110401,110406,,261#4,,60,2,0,23
110405,1,-1,time_cloister_card_supply,5,110406,110401,110406,,261#5,,60,2,0,24
110406,1,-1,time_cloister_card_supply,6,,110401,110406,,261#6,,60,2,0,25
120101,2,-1,time_cloister_card_battle_1,1,,,,120102|120103,0,300|300|300,,1,0,
120102,4,-1,time_cloister_card_battle_1,,,,,,60001,,10,,0,
120103,5,-1,time_cloister_card_battle_1,,,,,,60002,,5,,0,
120201,2,-1,time_cloister_card_battle_2,1,,,,120202|120203,0,1000|1000|1000,,2,0,48
120202,4,-1,time_cloister_card_battle_2,,,,,,60003,,20,,0,
120203,5,-1,time_cloister_card_battle_2,,,,,,60004,,10,,0,
120301,2,-1,time_cloister_card_battle_3,1,,,,120302|120303,0,2000|2000|2000,,2,0,49
120302,4,-1,time_cloister_card_battle_3,,,,,,60005,,40,,0,
120303,5,-1,time_cloister_card_battle_3,,,,,,60006,,20,,0,
130101,6,-1,time_cloister_card_event_1,1,130102,130101,130107,,0,,5,1,0,
130102,6,-1,time_cloister_card_event_1,2,130103,130101,130107,,0,,5,2,0,26
130103,6,-1,time_cloister_card_event_1,3,130104,130101,130107,,0,,5,2,0,26
130104,6,-1,time_cloister_card_event_1,4,130105,130101,130107,,0,,5,2,0,26
130105,6,-1,time_cloister_card_event_1,5,130106,130101,130107,,0,,5,2,0,26
130106,6,-1,time_cloister_card_event_1,6,130107,130101,130107,,0,,5,2,0,26
130107,6,-1,time_cloister_card_event_1,7,,130101,130107,,0,,5,2,0,26
130201,6,-1,time_cloister_card_event_2,1,130202,130201,130207,,0,,10,1,0,
130202,6,-1,time_cloister_card_event_2,2,130203,130201,130207,,0,,10,2,0,27
130203,6,-1,time_cloister_card_event_2,3,130204,130201,130207,,0,,10,2,0,27
130204,6,-1,time_cloister_card_event_2,4,130205,130201,130207,,0,,10,2,0,27
130205,6,-1,time_cloister_card_event_2,5,130206,130201,130207,,0,,10,2,0,27
130206,6,-1,time_cloister_card_event_2,6,130207,130201,130207,,0,,10,2,0,27
130207,6,-1,time_cloister_card_event_2,7,,130201,130207,,0,,10,2,0,27
130301,6,-1,time_cloister_card_event_3,1,130302,130301,130307,,0,,20,1,0,
130302,6,-1,time_cloister_card_event_3,2,130303,130301,130307,,0,,20,2,0,28
130303,6,-1,time_cloister_card_event_3,3,130304,130301,130307,,0,,20,2,0,28
130304,6,-1,time_cloister_card_event_3,4,130305,130301,130307,,0,,20,2,0,28
130305,6,-1,time_cloister_card_event_3,5,130306,130301,130307,,0,,20,2,0,28
130306,6,-1,time_cloister_card_event_3,6,130307,130301,130307,,0,,20,2,0,28
130307,6,-1,time_cloister_card_event_3,7,,130301,130307,,0,,20,2,0,28
130401,6,-1,time_cloister_card_event_4,1,130402,130401,130407,,0,,30,1,0,
130402,6,-1,time_cloister_card_event_4,2,130403,130401,130407,,0,,30,2,0,29
130403,6,-1,time_cloister_card_event_4,3,130404,130401,130407,,0,,30,2,0,29
130404,6,-1,time_cloister_card_event_4,4,130405,130401,130407,,0,,30,2,0,29
130405,6,-1,time_cloister_card_event_4,5,130406,130401,130407,,0,,30,2,0,29
130406,6,-1,time_cloister_card_event_4,6,130407,130401,130407,,0,,30,2,0,29
130407,6,-1,time_cloister_card_event_4,7,,130401,130407,,0,,30,2,0,29
130501,6,-1,time_cloister_card_event_5,1,130502,130501,130507,,0,,40,1,0,
130502,6,-1,time_cloister_card_event_5,2,130503,130501,130507,,0,,40,2,0,30
130503,6,-1,time_cloister_card_event_5,3,130504,130501,130507,,0,,40,2,0,30
130504,6,-1,time_cloister_card_event_5,4,130505,130501,130507,,0,,40,2,0,30
130505,6,-1,time_cloister_card_event_5,5,130506,130501,130507,,0,,40,2,0,30
130506,6,-1,time_cloister_card_event_5,6,130507,130501,130507,,0,,40,2,0,30
130507,6,-1,time_cloister_card_event_5,7,,130501,130507,,0,,40,2,0,30
130601,6,-1,time_cloister_card_event_6,1,130602,130601,130607,,0,,50,1,0,
130602,6,-1,time_cloister_card_event_6,2,130603,130601,130607,,0,,50,2,0,31
130603,6,-1,time_cloister_card_event_6,3,130604,130601,130607,,0,,50,2,0,31
130604,6,-1,time_cloister_card_event_6,4,130605,130601,130607,,0,,50,2,0,31
130605,6,-1,time_cloister_card_event_6,5,130606,130601,130607,,0,,50,2,0,31
130606,6,-1,time_cloister_card_event_6,6,130607,130601,130607,,0,,50,2,0,31
130607,6,-1,time_cloister_card_event_6,7,,130601,130607,,0,,50,2,0,31
130701,6,-1,time_cloister_card_event_7,1,130702,130701,130707,,0,,60,1,0,
130702,6,-1,time_cloister_card_event_7,2,130703,130701,130707,,0,,60,2,0,32
130703,6,-1,time_cloister_card_event_7,3,130704,130701,130707,,0,,60,2,0,32
130704,6,-1,time_cloister_card_event_7,4,130705,130701,130707,,0,,60,2,0,32
130705,6,-1,time_cloister_card_event_7,5,130706,130701,130707,,0,,60,2,0,32
130706,6,-1,time_cloister_card_event_7,6,130707,130701,130707,,0,,60,2,0,32
130707,6,-1,time_cloister_card_event_7,7,,130701,130707,,0,,60,2,0,32
130801,3,-1,time_cloister_card_event_point_1,1,,,,,0,,5,1,1,
130901,3,-1,time_cloister_card_event_point_2,1,,,,,0,,10,1,2,
131001,3,-1,time_cloister_card_event_point_4,1,,,,,0,,20,2,4,47
131101,3,-1,time_cloister_card_event_point_8,1,,,,,0,,40,2,8,47
131201,3,-1,time_cloister_card_event_point_16,1,,,,,0,,60,2,16,47
