id,buff,num,style,first_id,is_percent
1000101,1,25|20|1,1,1000101,0|0|0
1000102,1,5|20|1,1,1000101,0|0|0
1000103,1,10|20|1,1,1000101,0|0|0
1000104,1,15|20|1,1,1000101,0|0|0
1000105,1,20|20|1,1,1000101,0|0|0
1000106,1,25|20|1,1,1000101,0|0|0
1000201,2,0.01,2,,1
1000202,2,0.01,2,,1
1000203,2,0.01,2,,1
1000204,2,0.01,2,,1
1000205,2,0.01,2,,1
1000206,2,0.02,2,,1
1000207,2,0.002,2,,1
1000208,2,0.002,2,,1
1000209,2,0.002,2,,1
1000210,2,0.002,2,,1
1000211,2,0.002,2,,1
1000301,3,0.04|0.2,3,,1|1
1000302,3,0.03|0.2,3,,1|1
1000303,3,0.03|0.2,3,,1|1
1000304,3,0.04|0.2,3,,1|1
1000305,3,0.04|0.2,3,,1|1
1000306,3,0.07|0.2,3,,1|1
1000307,3,0.01|0.2,3,,1|1
1000308,3,0.01|0.2,3,,1|1
1000309,3,0.01|0.2,3,,1|1
1000310,3,0.01|0.2,3,,1|1
1000311,3,0.01|0.2,3,,1|1
1000401,4,0.02,4,,1
1000402,4,0.01,4,,1
1000403,4,0.01,4,,1
1000404,4,0.015,4,,1
1000405,4,0.015,4,,1
1000406,4,0.03,4,,1
1000407,4,0.005,4,,1
1000408,4,0.005,4,,1
1000409,4,0.005,4,,1
1000410,4,0.005,4,,1
1000411,4,0.005,4,,1
1000501,5,0.02,5,,1
1000502,5,0.01,5,,1
1000503,5,0.01,5,,1
1000504,5,0.015,5,,1
1000505,5,0.015,5,,1
1000506,5,0.03,5,,1
1000507,5,0.005,5,,1
1000508,5,0.005,5,,1
1000509,5,0.005,5,,1
1000510,5,0.005,5,,1
1000511,5,0.005,5,,1
1000601,6,0.02,6,,1
1000602,6,0.01,6,,1
1000603,6,0.01,6,,1
1000604,6,0.015,6,,1
1000605,6,0.015,6,,1
1000606,6,0.03,6,,1
1000607,6,0.005,6,,1
1000608,6,0.005,6,,1
1000609,6,0.005,6,,1
1000610,6,0.005,6,,1
1000611,6,0.005,6,,1
1000701,7,0.05|0.2,7,,1|1
1000702,7,0.05|0.2,7,,1|1
1000703,7,0.05|0.2,7,,1|1
1000704,7,0.05|0.2,7,,1|1
1000705,7,0.05|0.2,7,,1|1
1000706,7,0.1|0.2,7,,1|1
1000707,7,0.01|0.2,7,,1|1
1000708,7,0.01|0.2,7,,1|1
1000709,7,0.01|0.2,7,,1|1
1000710,7,0.01|0.2,7,,1|1
1000711,7,0.01|0.2,7,,1|1
1000801,8,0.01|1,8,,1|1
1000802,8,0.01|1,8,,1|1
1000803,8,0.01|1,8,,1|1
1000901,9,0.03|0.2,9,,1|1
1000902,9,0.03|0.2,9,,1|1
1000903,9,0.04|0.2,9,,1|1
1000904,9,0.04|0.2,9,,1|1
1000905,9,0.06|0.2,9,,1|1
1001001,10,0.05|0.1,10,,1|1
1001002,10,0.05|0.1,10,,1|1
1001003,10,0.05|0.1,10,,1|1
1001004,10,0.05|0.1,10,,1|1
1001005,10,0.1|0.1,10,,1|1
1001101,11,0.05|0.1,11,,1|1
1001102,11,0.05|0.1,11,,1|1
1001103,11,0.05|0.1,11,,1|1
1001104,11,0.05|0.1,11,,1|1
1001105,11,0.1|0.1,11,,1|1
1001201,12,0.07,12,,1
1001202,12,0.07,12,,1
1001203,12,0.07,12,,1
1001204,12,0.09,12,,1
1001301,13,0.03,13,,1
1001302,13,0.03,13,,1
1001303,13,0.03,13,,1
1001304,13,0.06,13,,1
1001401,14,0.05|0.5,14,,1|1
1001402,14,0.05|0.5,14,,1|1
1001403,14,0.05|0.5,14,,1|1
1001404,14,0.1|0.5,14,,1|1
1001501,15,15,15,,0
1001502,15,5,15,,0
1001503,15,5,15,,0
1001504,15,10,15,,0
1001505,15,10,15,,0
1001506,15,20,15,,0
1001507,15,5,15,,0
1001508,15,5,15,,0
1001509,15,5,15,,0
1001510,15,5,15,,0
1001511,15,5,15,,0
1001601,16,5,16,,0
1001602,16,5,16,,0
1001603,16,10,16,,0
