id,free_award,member_award,guild_award,giftbag_id,giftbag_id2,guild_exp,guild_exp2
4,1#5000|4#60,1#10000|4#10,1#50000|4#50|246#1,256,297,10,100
5,1#5000|4#60,1#10000|4#10,1#50000|4#50|246#1,257,297,10,100
6,1#5500|4#62,1#10000|4#10,1#50000|4#50|246#1,258,297,10,100
7,1#5500|4#62,1#10000|4#10,1#50000|4#50|246#1,259,297,10,100
8,1#6000|4#64,1#10000|4#10,1#50000|4#50|246#1,260,297,10,100
9,1#6000|4#64,1#10000|4#10,1#50000|4#50|246#1,261,297,10,100
10,1#6500|4#66,1#10000|4#10,1#50000|4#50|246#1,214,297,10,100
11,1#6500|4#66,1#10000|4#10,1#50000|4#50|246#1,215,297,10,100
12,1#7000|4#68,1#10000|4#10,1#50000|4#50|246#1,216,297,10,100
13,1#7000|4#68,1#10000|4#10,1#50000|4#50|246#1,217,297,10,100
14,1#7500|4#70,1#10000|4#10,1#50000|4#50|246#1,218,297,10,100
15,1#7500|4#70,1#10000|4#10,1#50000|4#50|246#1,219,297,10,100
16,1#8000|4#72,1#10000|4#10,1#50000|4#50|246#1,220,297,10,100
17,1#8500|4#74,1#10000|4#10,1#50000|4#50|246#1,221,297,10,100
18,1#9000|4#76,1#10000|4#10,1#50000|4#50|246#1,222,297,10,100
19,1#9500|4#78,1#10000|4#10,1#50000|4#50|246#1,223,297,10,100
20,1#10000|4#80,1#10000|4#10,1#50000|4#50|246#1,224,297,10,100
21,1#10500|4#82,1#10000|4#10,1#50000|4#50|246#1,225,297,10,100
22,1#11000|4#84,1#10000|4#10,1#50000|4#50|246#1,226,297,10,100
23,1#11500|4#86,1#10000|4#10,1#50000|4#50|246#1,227,297,10,100
24,1#12000|4#88,1#10000|4#10,1#50000|4#50|246#1,228,297,10,100
25,1#12500|4#90,1#10000|4#10,1#50000|4#50|246#1,229,297,10,100
26,1#13000|4#92,1#10000|4#10,1#50000|4#50|246#1,230,297,10,100
27,1#13500|4#94,1#10000|4#10,1#50000|4#50|246#1,231,297,10,100
28,1#14000|4#96,1#10000|4#10,1#50000|4#50|246#1,232,297,10,100
29,1#14500|4#98,1#10000|4#10,1#50000|4#50|246#1,233,297,10,100
30,1#15000|4#100,1#10000|4#10,1#50000|4#50|246#1,234,297,10,100
