id,name,excel_table,type,rank,limit_level,function_id,slot_num,slot_buy_time,is_refresh_save,is_refresh,refresh_type,refresh_free_time,refresh_cost,economy_show,girls_type,girls_img,girls_model,offset,scale,icon,shop_bg,shop_banner,is_large_slot
1,-1,shop_black,,,,1,8,1|1|1|1|1|1|1|1,1,1,2,10800,2#20,2,2,,6,0|0,1,icon_58_png,market_scene_,shop_bg_type01_png,
2,-1,shop_hero,2,1,,8,29,1|1|1|1|1|1|1|1|1|1|1|1|1|2|2|2|2|1|1|1|1|1|1|1|1|-1|1|1|1,0,1,1,0,7#5000,7,2,,44,-5|-510,1.3,icon_7_small_png,market_scene2_,shop_bg_type07_png,
3,-1,shop_luck,2,2,14,11,8,1|1|1|1|1|1|1|1,0,1,2,86400,6#50,6,2,,31,0|-605,1.3,icon_6_small_png,market_scene3_,shop_bg_type01_png,
4,-1,shop_brave,2,,40,18,32,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0,0,1,,,15,2,,32,5|-470,1.235,icon_15_small_png,market_scene4_,shop_bg_type06_png,
5,-1,shop_arena,2,4,18,14,9,-1|-1|-1|-1|-1|-1|-1|-1|-1,0,0,1,,,16,2,,45,0|-590,1.3,icon_16_small_png,market_scene5_,shop_bg_type02_png,
6,-1,shop_guild,2,5,21,22,22,2|2|2|2|1|1|1|1|3|3|3|3|-1|-1|-1|-1|4|4|1|1|1|1,0,1,1,0,4#20000,4,2,,9,10|-505,1.17,icon_4_small_png,market_scene6_,shop_bg_type05_png,
7,-1,shop_black_new,,,,1,32,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,0,0,1,,,2,2,,6,0|0,1,icon_58_png,market_scene_,shop_bg_type01_png,
8,-1,shop_house_furniture,,,,,,,0,0,1,0,,,2,,,0|0,1,icon_58_png,market_scene_,shop_bg_type01_png,1
9,-1,shop_school_practise,2,6,90,35,8,-1|-1|-1|-1|-1|-1|-1|-1,0,0,1,,,173|65|66,2,,40,17|-540,1.3,icon_66_small_png,market_scene7_,shop_bg_type04_png,
10,-1,shop_skin,,,,,75,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0,0,1,0,,,2,,,0|0,1,icon_58_png,market_scene_,shop_bg_type01_png,
11,-1,shop_hero_new,,,,,55,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0,0,1,0,,73,2,,47,53|-520,0.8,icon_58_png,market_scene1_,shop_bg_type03_png,
12,-1,shop_battlepass,,,,,15,1|4|15|5|10|5|1|1|1|1|1|1|1|1|99,0,0,1,0,,221|222,2,,,0|0,1,icon_58_png,market_scene_,shop_bg_type01_png,
13,-1,shop_new_trial,2,3,40,18,32,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0,0,1,,,15,2,,32,5|-470,1.235,icon_15_small_png,market_scene4_,shop_bg_type06_png,
14,-1,shop_collection1,,,,,9,1|1|1|1|1|1|1|1|1,0,0,1,,,,2,,,,1,icon_58_png,market_scene_,shop_bg_type01_png,
15,-1,shop_collection2,,,,,8,1|1|1|1|1|1|1|1,0,0,1,604800,,,2,,,,1,icon_58_png,market_scene_,shop_bg_type01_png,
16,-1,shop_battlepass_2,,,,,16,1|4|15|5|10|5|1|1|1|1|1|1|1|1|99|999,0,0,1,0,,221|222,2,,,0|0,1,icon_58_png,market_scene_,shop_bg_type01_png,
17,-1,shop_artifact,,,,,49,-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1,0,0,1,0,,170,2,,122,0|-490,0.8,icon_58_png,market_scene8_,shop_bg_type08_png,
