id,start_achievement,end_achievement,cloister,desc,style,param,type,show_rank,show_rank_done
1,101,103,1,-1,1,1,2,1,1
2,201,203,1,-1,1,2,2,2,2
3,301,310,1,-1,2,,1,3,3
4,401,403,1,-1,3,130101,2,4,4
5,501,503,1,-1,3,130201,2,5,5
6,601,603,1,-1,3,130301,2,6,6
7,701,703,1,-1,3,130401,2,7,7
8,801,803,1,-1,3,130501,2,8,8
9,901,903,1,-1,3,130601,2,9,9
10,1001,1003,1,-1,3,130701,2,10,10
11,1101,1102,1,-1,4,130101,1,11,11
12,1201,1202,1,-1,4,130201,1,12,12
13,1301,1302,1,-1,4,130301,1,13,13
14,1401,1402,1,-1,4,130401,1,14,14
15,1501,1502,1,-1,4,130501,1,15,15
16,1601,1602,1,-1,4,130601,1,16,16
17,1701,1701,1,-1,4,130701,1,17,17
18,1801,1803,1,-1,5,,2,18,18
19,1901,1903,1,-1,6,,1,19,19
20,2001,2005,1,-1,7,,1,20,20
21,2101,2105,2,-1,1,1,1,1,1
