id,next_id,fort_first,cloister,type,skill_ids,battle_id,awards,base,tec
1,2,1,1,1,,910101,1#100000|2#20|287#10,500|500|500,
2,3,,1,1,,910102,1#200000|2#40|287#20,750|750|750,33#1
3,4,,1,1,,910103,1#300000|2#60|287#30,1000|1000|1000,33#2
4,5,,1,1,,910104,1#400000|2#80|287#40,1250|1250|1250,33#3
5,6,,1,1,620101,910105,1#500000|2#100|287#50,1500|1500|1500,33#4
6,7,,1,1,620102,910106,1#600000|2#120|287#60,1750|1750|1750,33#5
7,8,,1,1,620103,910107,1#700000|2#140|287#70,2000|2000|2000,33#6
8,9,,1,1,620104,910108,1#800000|2#160|287#80,2250|2250|2250,33#7
9,10,,1,1,620105,910109,1#900000|2#180|287#90,2500|2500|2500,33#8
10,11,,1,1,620106,910110,1#1000000|2#200|287#100,3000|3000|3000,33#9
11,-1,,1,2,,910111,,3000|3000|3000,
12,13,1,2,1,,800301,1#1|2#1,123|123|123,
13,14,,2,1,,800302,1#1|2#2,123|123|123,
14,15,,2,1,,800303,1#1|2#3,123|123|123,
15,16,,2,1,,800304,1#1|2#4,123|123|123,
16,17,,2,1,,800305,1#1|2#5,123|123|123,
17,18,,2,1,,800306,1#1|2#6,123|123|123,
18,19,,2,1,,800307,1#1|2#7,123|123|123,
19,20,,2,1,,800308,1#1|2#8,123|123|123,
20,21,,2,1,,800309,1#1|2#9,123|123|123,
21,22,,2,1,,800310,1#1|2#10,123|123|123,
22,-1,,2,2,,600061,,123|123|123,
