id,skill_1,skill_2,skill_3,cost,upgrade_1,upgrade_2,image,value,desc
1,530101,530102,530103,324#180,324#90,324#90,shrine_buff_01,60|80|100,-1
2,530201,530202,530203,324#180,324#90,324#90,shrine_buff_01,30|40|50,-1
3,530301,530302,530303,324#180,324#90,324#90,shrine_buff_01,60|80|100,-1
4,530401,530402,530403,324#180,324#90,324#90,shrine_buff_01,20|30|40,-1
5,530501,530502,530503,324#180,324#90,324#90,shrine_buff_02,60|90|120,-1
6,530601,530602,530603,324#180,324#90,324#90,shrine_buff_02,30|40|50,-1
7,530701,530702,530703,324#180,324#90,324#90,shrine_buff_02,10|15|20,-1
8,530801,530802,530803,324#180,324#90,324#90,shrine_buff_02,4|6|8,-1
9,530901,530902,530903,324#180,324#90,324#90,shrine_buff_03,35|40|50,-1
10,531001,531002,531003,324#180,324#90,324#90,shrine_buff_03,10|15|20,-1
11,531101,531102,531103,324#180,324#90,324#90,shrine_buff_03,10|15|20,-1
12,531201,531202,531203,324#180,324#90,324#90,shrine_buff_03,20|25|30,-1
13,531301,531302,531303,324#180,324#90,324#90,shrine_buff_04,2|3|4,-1
14,531401,531402,531403,324#180,324#90,324#90,shrine_buff_04,60|80|100,-1
15,531501,531502,531503,324#180,324#90,324#90,shrine_buff_04,15|20|25,-1
16,531601,531602,531603,324#180,324#90,324#90,shrine_buff_04,100|120|150,-1
17,531701,531702,531703,324#180,324#90,324#90,shrine_buff_05,40|50|60,-1
18,531801,531802,531803,324#180,324#90,324#90,shrine_buff_05,20|25|30,-1
19,531901,531902,531903,324#180,324#90,324#90,shrine_buff_05,0.6|0.8|1,-1
20,532001,532002,532003,324#180,324#90,324#90,shrine_buff_05,60|80|100,-1
21,532101,532102,532103,324#180,324#90,324#90,shrine_buff_06,25|30|35,-1
22,532201,532202,532203,324#180,324#90,324#90,shrine_buff_06,5|7|10,-1
23,532301,532302,532303,324#180,324#90,324#90,shrine_buff_06,4|6|8,-1
24,532401,532402,532403,324#180,324#90,324#90,shrine_buff_06,0.4|0.5|0.6,-1
