id,cards,box_id,weight
1,110101,1001,9280
2,110201,1001,60
3,110301,1001,600
4,110401,1001,60
5,120101,1002,5000
6,120201,1002,3500
7,120301,1002,1500
8,130101,1003,2800
9,130201,1003,2400
10,130301,1003,1700
11,130401,1003,1600
12,130501,1003,800
13,130601,1003,500
14,130701,1003,200
15,130801,1004,3500
16,130901,1004,3000
17,131001,1004,2000
18,131101,1004,1000
19,131201,1004,500
20,110101,1005,2500
21,110201,1005,2500
22,110301,1005,2500
23,110401,1005,2500
24,210101,2001,8680
25,210201,2001,110
26,210301,2001,1100
27,210401,2001,110
28,211101,2002,600
29,211201,2002,500
30,211301,2002,500
31,211401,2002,600
32,211501,2002,500
33,211601,2002,500
34,211701,2002,600
35,211801,2002,500
36,211901,2002,500
37,212001,2002,600
38,212101,2002,500
39,212201,2002,500
40,212301,2002,600
41,212401,2002,500
42,212501,2002,500
43,212601,2002,800
44,212701,2002,600
45,212801,2002,600
46,220101,2003,5000
47,220201,2003,3500
48,220301,2003,1500
49,220401,2004,2000
50,220501,2004,2000
51,220601,2004,2000
52,220701,2004,2000
53,220801,2004,2000
54,230101,2005,2800
55,230201,2005,2400
56,230301,2005,1700
57,230401,2005,1600
58,230501,2005,800
59,230601,2005,500
60,230701,2005,200
61,230801,2006,3500
62,230901,2006,3000
63,231001,2006,2000
64,231101,2006,1000
65,231201,2006,500
66,210501,2007,3000
67,210601,2007,3000
68,210701,2007,2000
69,210801,2007,1500
70,210901,2007,400
71,211001,2007,100
