id,rank,is_percentage,awards,rank_front,rank_front_mail,group
1,1,,2#600|1#2000000|259#5,1,1,1
2,2,,2#600|1#2000000|259#5,2,2,1
3,3,,2#600|1#2000000|259#5,3,3,1
4,10,,2#500|1#1500000|259#4,4-10,4-10,1
5,20,,2#400|1#1000000|259#3,11-20,11-20,1
6,50,,2#350|1#800000|259#2,21-50,21-50,1
7,5,1,2#300|1#600000|259#1,5%,5,1
8,20,1,2#250|1#500000,20%,20,1
9,50,1,2#200|1#400000,50%,50,1
10,100,1,2#100|1#300000,--,100,1
11,1,,2#720|1#2600000|259#5,1,1,2
12,2,,2#720|1#2600000|259#5,2,2,2
13,3,,2#720|1#2600000|259#5,3,3,2
14,10,,2#600|1#1950000|259#4,4-10,4-10,2
15,20,,2#480|1#1300000|259#3,11-20,11-20,2
16,50,,2#420|1#1040000|259#2,21-50,21-50,2
17,5,1,2#360|1#780000|259#1,5%,5,2
18,20,1,2#300|1#650000,20%,20,2
19,50,1,2#240|1#520000,50%,50,2
20,100,1,2#120|1#390000,--,100,2
21,1,,2#800|1#3000000|259#5,1,1,3
22,2,,2#800|1#3000000|259#5,2,2,3
23,3,,2#800|1#3000000|259#5,3,3,3
24,10,,2#700|1#2250000|259#4,4-10,4-10,3
25,20,,2#550|1#1500000|259#3,11-20,11-20,3
26,50,,2#500|1#1200000|259#2,21-50,21-50,3
27,5,1,2#450|1#900000|259#1,5%,5,3
28,20,1,2#400|1#750000,20%,20,3
29,50,1,2#300|1#600000,50%,50,3
30,100,1,2#200|1#450000,--,100,3
