id,name,items,pos,group,styles,unlock_style_type,unlock_styles,dress_shard
101001,,3100001|3100002|3100003|3100004|3100005|3100006,1,1,1000101|1000102,1,1000101|1000102,
101002,,3100007|3100008|3100009|3100010|3100011|3100012,2,1,1000201|1000202,1,1000201|1000202,
101003,,3100013|3100014|3100015|3100016|3100017|3100018,3,1,1000301|1000302,1,1000301|1000302,
101004,,3100019|3100020|3100021|3100022|3100023|3100024,4,1,1000401,1,1000401,
101005,-1,3100025|3100026|3100027|3100028|3100029|3100030,1,2,1000501|1000502,1,1000501|1000502,
101006,-1,3100031|3100032|3100033|3100034|3100035|3100036,2,2,1000601|1000602,1,1000601|1000602,
101007,-1,3100037|3100038|3100039|3100040|3100041|3100042,3,2,1000701|1000702,1,1000701|1000702,
101008,-1,3100043|3100044|3100045|3100046|3100047|3100048,4,2,1000801,1,1000801,
101009,-1,3100049|3100050|3100051|3100052|3100053|3100054,5,2,1000901,1,1000901,
101010,-1,3100055|3100056|3100057|3100058|3100059|3100060,1,3,1001001|1001002,1,1001001|1001002,
101011,-1,3100061|3100062|3100063|3100064|3100065|3100066,2,3,1001101|1001102,1,1001101|1001102,
101012,-1,3100067|3100068|3100069|3100070|3100071|3100072,3,3,1001201|1001202,1,1001201|1001202,
101013,-1,3100073|3100074|3100075|3100076|3100077|3100078,4,3,1001301|1001302,1,1001301|1001302,
101014,-1,3100079|3100080|3100081|3100082|3100083|3100084,5,3,1001401,1,1001401,
101015,-1,3100085|3100086|3100087|3100088|3100089|3100090,1,4,1001501|1001502,1,1001501|1001502,
101016,-1,3100091|3100092|3100093|3100094|3100095|3100096,2,4,1001601|1001602,1,1001601|1001602,
101017,-1,3100097|3100098|3100099|3100100|3100101|3100102,3,4,1001701|1001702,1,1001701|1001702,
101018,-1,3100103|3100104|3100105|3100106|3100107|3100108,4,4,1001801|1001802,1,1001801|1001802,
101019,-1,3100109|3100110|3100111|3100112|3100113|3100114,5,4,1001901,1,1001901,
101020,-1,3100115|3100116|3100117|3100118|3100119|3100120,1,5,1002001|1002002,1,1002001|1002002,
101021,-1,3100121|3100122|3100123|3100124|3100125|3100126,2,5,1002101|1002102,1,1002101|1002102,
101022,-1,3100127|3100128|3100129|3100130|3100131|3100132,3,5,1002201|1002202,1,1002201|1002202,
101023,-1,3100133|3100134|3100135|3100136|3100137|3100138,4,5,1002301,1,1002301,
101024,-1,3100139|3100140|3100141|3100142|3100143|3100144,1,6,1002401|1002402,1,1002401|1002402,
101025,-1,3100145|3100146|3100147|3100148|3100149|3100150,2,6,1002501|1002502,1,1002501|1002502,
101026,-1,3100151|3100152|3100153|3100154|3100155|3100156,3,6,1002601|1002602,1,1002601|1002602,
101027,-1,3100157|3100158|3100159|3100160|3100161|3100162,4,6,1002701|1002702,1,1002701|1002702,
101028,-1,3100163|3100164|3100165|3100166|3100167|3100168,5,6,1002801,1,1002801,
101029,-1,3100169|3100170|3100171|3100172|3100173|3100174,1,7,1002901|1002902,1,1002901|1002902,
101030,-1,3100175|3100176|3100177|3100178|3100179|3100180,2,7,1003001|1003002,1,1003001|1003002,
101031,-1,3100181|3100182|3100183|3100184|3100185|3100186,3,7,1003101|1003102,1,1003101|1003102,
101032,-1,3100187|3100188|3100189|3100190|3100191|3100192,4,7,1003201|1003202,1,1003201|1003202,
101033,-1,3100193|3100194|3100195|3100196|3100197|3100198,5,7,1003301,1,1003301,
101034,-1,3100199|3100200|3100201|3100202|3100203|3100204,1,8,1003401|1003402,1,1003401|1003402,
101035,-1,3100205|3100206|3100207|3100208|3100209|3100210,2,8,1003501|1003502,1,1003501|1003502,
101036,-1,3100211|3100212|3100213|3100214|3100215|3100216,3,8,1003601|1003602,1,1003601|1003602,
101037,-1,3100217|3100218|3100219|3100220|3100221|3100222,4,8,1003701|1003702,1,1003701|1003702,
101038,-1,3100223|3100224|3100225|3100226|3100227|3100228,5,8,1003801|1003802,1,1003801|1003802,
101039,-1,3100229|3100230|3100231|3100232|3100233|3100234,1,9,1003901|1003902,1,1003901|1003902,
101040,-1,3100235|3100236|3100237|3100238|3100239|3100240,2,9,1004001|1004002,1,1004001|1004002,
101041,-1,3100241|3100242|3100243|3100244|3100245|3100246,3,9,1004101|1004102,1,1004101|1004102,
101042,-1,3100247|3100248|3100249|3100250|3100251|3100252,4,9,1004201,1,1004201,
101043,-1,3100253|3100254|3100255|3100256|3100257|3100258,5,9,1004301,1,1004301,
999999,,3299981|3299982|3299983|3299984|3299985|3199999,1,,9999998|9999999,1,9999998,3299999#50
999998,,3199998,1,,9999998|9999999,1,9999998,3299998#50
999997,,3199997,1,,9999998|9999999,1,9999998,3299997#50
999996,,3199996,1,,9999998|9999999,1,9999998,3299996#50
999995,,3199995,1,,9999998|9999999,1,9999998,3299995#50
999994,,3199994,1,,9999998|9999999,1,9999998,3299994#50
999993,,3199993,1,,9999998|9999999,1,9999998,3299993#50
999992,,3199992,1,,9999998|9999999,1,9999998,3299992#50
999991,,3199991,1,,9999998|9999999,1,9999998,3299991#50
999990,,3199990,1,,9999998|9999999,1,9999998,3299990#50
999989,,3199989,1,,9999998|9999999,1,9999998,3299989#50
999988,,3199988,1,,9999998|9999999,1,9999998,3299988#50
999987,,3299976|3299977|3299978|3299979|3299980|3199987,1,,9999998|9999999,1,9999998,3299987#50
999986,,3199986,1,,9999998|9999999,1,9999998,3299986#50
