id,name_zh_tw,name_en_en,name_ja_jp,name_fr_fr,name_ko_kr,name_de_de
1,廖化,Skarivine,廖化,Skarivine,유화,Skarivine
2,阮籍,Cayla,阮籍,Cayla,완적,Cayla
3,王平,Vanessa,王平,Vanees,왕평,Vanessa
4,曹洪,Madam,曹洪,Maidam,조홍,Madam
5,紀靈,Agesia,紀霊,Aegis,기령,Agesia
6,韓當,Handana,韓当,Handana,한당,Handana
7,凌統,Lin Al,凌統,Lin Al,능통,Lin Al
8,萬聖女巫,Hexe,ジャコランタン,Sorcière,마녀,Hexe
9,馬雲祿,Stella,馬雲リョク,Stella,마운록,Stella
10,管輅,Elloi,管輅,Elloi,관로,Elloi
11,盧植,Vella,盧植,Veila,노식,Vella
12,田豐,Yuri,田豊,Yuri,전풍,Yuri
13,夏侯玄,Talia,夏侯玄,Talia,하후현,Talia
14,程普,Nasha,程普,Nasha,정보,Nasha
15,韓遂,Hani,韓遂,Hancer,한수,Hani
16,曹芳,Nono,曹芳,Nono,조방,Nono
17,馬良,Roselle,馬良,Roselle,마량,Roselle
18,龐會,Hynel,龐会,Hynel,방회,Hynel
19,黃蓋,Fleur,黄蓋,Fleur,황개,Fleur
20,胡車兒,Meimi,胡車児,Meimi,메이미,Meimi
21,張寶,Boro,張宝,Boro,장보,Boro
22,張梁,Lana,張梁,Lana,장량,Lana
23,猿飛佐助,Sasuke,猿飛佐助,Sasuke,사스케,Sasuke
24,沙摩柯,Schamane,沙摩柯,Shamoke,사마가,Schamane
25,公孫瓚,Pyra,公孫瓚,Pyra,공손찬,Pyra
26,丁奉,Oktia,丁奉,Octagirl,정봉,Oktia
27,華雄,Aeris,華雄,Aeris,화웅,Aeris
28,鍾繇,Puny,鍾繇,Puny,종요,Puny
29,朱然,Poppi,朱然,Poppi,주연,Poppi
30,玉兔,Jade,玉兔,Jade,옥토,Jade
31,孔融,Ursula,孔融,Ursula,공융,Ursula
32,王雙,Kitty,王双,Kitty,왕쌍,Kitty
33,孫堅,Samurai,孫堅,Samurai,손견,Samurai
34,郭圖,Tula,郭図,Tula,곽도,Tula
35,愛德華,Edward,エドワード,Edward,에드워드,Edward
36,何進,King,何進,King,하진,King
37,陳登,Donna,陳登,Donna,진등,Donna
38,織田信奈,Nobuna,織田信忠,Nobuna,노부타다,Nobuna
39,鍾會,Annabelle,鍾会,Annabelle,종회,Annabelle
40,蔣幹,Harley,蒋幹,Harley,장간,Harley
41,司馬師,Zauberin,司馬師,Magicien,사마사,Zauberin
42,夏侯霸,Caitlin,夏侯霸,Caitlin,하후패,Caitlin
43,毛利元就,Lesia,毛利元就,Marynari,마리,Lesia
44,曹性,Robin,曹性,Robin,조성,Robin
45,徐盛,Sisha,徐盛,Sisha,서성,Sisha
46,蔣欽,Mythra,蒋欽,Mythra,장흠,Mythra
47,高順,Athena,高順,Athena,고순,Athena
48,梅鶯毒,Kenshin,梅鶯毒,Kenshin,매영독,Kenshin
49,曹叡,Reo,曹叡,Reo,조예,Reo
50,嫦娥,Luna,嫦娥,Luna,항아,Luna
51,周泰,Zombia,周泰,Zombia,주태,Zombia
52,赤兔,Blitz,赤兎,Flash,적토,Blitz
53,馬超,Werwolf,馬超,Werewolf,마초,Werwolf
54,楊修,Nona,楊修,Nona,양수,Nona
55,顏良,Kitsune,顔良,Assassin,안량,Kitsune
56,禰衡,Ashely,禰衡,Ashely,예형,Ashely
57,文醜,Ninja,文醜,Ninja,문추,Ninja
58,張春華,Cynthia,張春華,Cynthia,장춘화,Cynthia
59,小喬,Miya,小喬,Miya,소교,Miya
60,典韋,Betti,典韋,Bidenty,전위,Betti
61,孫策,Boxer,孫策,Boxer,손책,Boxer
62,甄姬,Lily,甄姫,Lily,견희,Lily
63,荀攸,Nagia,荀攸,Nagia,순유,Nagia
64,曹沖,Jessica,曹沖,Hypatia,조충,Jessica
65,劉禪,Quinie,劉禅,Quinie,유선,Quinie
66,徐晃,Haxie,徐晃,Haxie,서황,Haxie
67,魯肅,Nun,魯粛,Nun,노숙,Nun
68,曹休,Diva,曹休,Diva,조휴,Diva
69,王允,Liz,王允,Liz,왕윤,Liz
70,步練師,Anna,步練師,Anna,보부인,Anna
71,文聘,Omega,文聘,Oméga,문빙,Omega
72,張角,Lightin,張角,Lightin,장각,Lightin
73,魏延,Iron Fist,魏延,Iron Fist,위연,Iron Fist
74,諸葛瑾,Ada,諸葛瑾,Ada,제갈근,Ada
75,袁術,Beary,袁術,Beary,원술,Beary
76,潘鳳,Litana,潘鳳,Litana,반봉,Litana
77,步騭,Jelly,歩騭,Jelly,보즐,Jelly
78,王元姬,Wandy,王元姫,Wandy,왕원희,Wandy
79,馬謖,Zwerga,馬謖,Elvis,마속,Zwerga
80,李典,Panpan,李典,Chainsaw,이전,Panpan
81,何太后,Medusa,何皇后,Medusa,하태후,Medusa
82,張仲景,Zoe,張仲景,Zoe,장중경,Zoe
83,賈詡,Pann,賈詡,Toy Girl,가후,Pann
84,王朗,Lisa,王朗,Lisa,왕랑,Lisa
85,李儒,Annie,李儒,Annie,이유,Annie
86,程昱,Androi,程昱,Androi,정욱,Androi
87,張昭,Calista,張昭,Calista,장소,Calista
88,法正,Selene,法正,Selene,법정,Selene
89,周瑜,Saphira,周瑜,Sapphire,주유,Saphira
90,張郃,Bunny,張郃,Gambler,장합,Bunny
91,董卓,Succubus,董卓,Succuba,동탁,Succubus
92,德古拉,Dracula,ドラキュラ,Dracula,드라큘라,Dracula
93,孫悟空,Wu Kong,孫悟空,Wu Kong,오공,Wu Kong
94,鄧艾,Fencer,鄧艾,Fencer,등애,Fencer
95,孟獲,Diana,孟獲,Wildtress,맹획,Diana
96,千本櫻,Sakura,千本桜,Sakura,천본앵,Sakura
97,甘夫人,Giana,甘夫人,Giana,손인,Giana
98,司馬懿,Minos,司馬懿,Ennmaya,사마의,Minos
99,貂蟬,Hottie,貂蝉,Hottie,초선,Hottie
100,荀彧,Aurora,荀彧,Blowie,순욱,Aurora
101,夏侯惇,Chevalier,夏侯惇,Chevalir,하후돈,Chevalier
102,曹操,Historia,曹操,Saint,조조,Historia
103,趙雲,Javelin,趙雲,Javelin,조운,Javelin
104,大喬,Geisha,大喬,Geisha,대교,Geisha
105,張飛,Sonya,張飛,Sonya,장비,Sonya
106,夏侯淵,Misty,夏侯淵,Caitlyn,하후연,Misty
107,關羽,Guan Yin,関羽,Guan Yin,관우,Guan Yin
108,曹植,Librarian,曹植,Libraria,조식,Librarian
109,左慈,Priesterin,左慈,Prêtresse,좌자,Priesterin
110,偃月,Alice,偃月,Alice,언월,Alice
111,漢靈帝,Nia,霊帝,Nia,유굉,Nia
112,漢獻帝,Puppe,献帝,Muppy,유협,Puppe
113,織田信長,Odanna,織田信長,Nobunaga,노부나가,Odanna
114,姜維,Silvia,姜維,Silvia,강유,Silvia
115,圖靈,Turin,チューリング,Turin,튜린,Turin
116,豐臣秀吉,Toyo,豊臣秀吉,Toyo,토요,Toyo
117,伊達政宗,Zoro,伊達政宗,Masamune,마사무네,Zoro
118,方天,Hexa,方天,Hexa,방천,Hexa
119,黃月英,Maska,黄月英,Psychic,황월영,Maska
120,黃忠,Amazone,黄忠,Amazon,황충,Amazone
121,許褚,Knospe,許褚,Elfe Bourgeon,허저,Knospe
122,劉表,Himoto,劉表,Himoto,유표,Himoto
123,蔡文姬,Nani,蔡文姫,Nani,채문희,Nani
124,祝融,Lavia,祝融,Lavia,축융,Lavia
125,郭嬛,Susan,郭氏,Susan,곽환,Susan
126,呂蒙,Aquaris,呂蒙,Aquaris,여몽,Aquaris
127,諸葛亮,KongMing,諸葛亮,Kong Ming,제갈량,KongMing
128,孫尚香,Pandaria,孫尚香,Pandaria,손상향,Pandaria
129,呂玲綺,Leila,呂玲綺,Linky,여령기,Leila
130,瓦拉斯基,Valasaki,瓦拉斯基,Valasaki,와라사키,Valasaki
131,司馬昭,Amelia,司馬昭,Amelia,사마소,Amelia
132,郭嘉,Reika,郭嘉,Wraith,곽가,Reika
133,于吉,Sensina,于吉,Scythe,우길,Sensina
134,路西法,Lucifer,ルシファー,Lucifer,루시퍼,Lucifer
135,水鏡,Angel,水鏡,Angel,수경,Angel
136,加百列,Gabriel,ガブリエル,Gabriel,가브리엘,Gabriel
137,米迦勒,Michaela,ミカエル,Michael,미카엘,Michaela
138,龐統,Phönix,龐統,Phénix,방통,Phönix
139,陸遜,Babel,陸遜,Capsula,육손,Babel
140,巴尼拉,Fenek,バニラ,Valeera,바닐라,Fenek
141,以掃,Esau,イサウ,Ésaü,이사우,Esau
142,雅各,Jacob,ヤコブ,Jacob,야곱,Jacob
